Trial Number,MSE,Resultant Angles
1,1.1107207345395915,0.0,0.0
2,1.124407889123326,0.024842849768454467,-0.04276167385226808
3,1.1140523941558655,0.06174213561893898,-0.06161700198286848
4,1.0862912150024862,0.10615132214639693,-0.062335481353098625
5,1.0466820751632622,0.15408676211220496,-0.04946067561387542
6,0.9992726927097916,0.2035466162006956,-0.027002409854579044
7,0.9473776454769776,0.25243294383647147,0.002153324354239911
8,0.8933320735006591,0.29945505544839823,0.03579727667051495
9,0.8387294113173136,0.34392885809506996,0.07225590698255681
10,0.7845282156226553,0.38524338014519555,0.11059399139759313
11,0.7314232274267483,0.423478890796825,0.14979264285849292
12,0.6796547674504188,0.45876149035768304,0.1893787956386511
13,0.629890472259424,0.49126634139946357,0.22839863168189464
14,0.5821456336194346,0.5212764358911487,0.2666176203917752
15,0.5364110869462297,0.5490635988025678,0.3038560284013672
16,0.49265423753833826,0.5748739722426318,0.3399907513541688
17,0.45081521448371276,0.5988854898054502,0.37497474764298533
18,0.4107386050921668,0.6209876385311467,0.4090002608710843
19,0.3723492453424898,0.6414219295418396,0.4420109117530741
20,0.33557283035149404,0.6603947249938319,0.4739768011607098
21,0.30033647734972735,0.6780809352639575,0.5048896748047007
22,0.2665716078841755,0.6946265158905337,0.5347571249802827
23,0.2342186258018614,0.7101498139038296,0.5635963361484407
24,0.20323246789184843,0.7247440513472653,0.5914277669530036
25,0.17359251089587174,0.7385045894219622,0.6182594408974275
26,0.145305405689356,0.7514535218552827,0.6441132659981784
27,0.11841433493599361,0.7635953464257287,0.6690083361339311
28,0.09304171993716195,0.7749148400744498,0.6929489255370378
29,0.06947536696626334,0.7853750565395732,0.7159228002737476
30,0.048441032107099956,0.794916370796135,0.7379014548849979
31,0.03211837720138083,0.8034605510056727,0.7588399197066384
32,0.026389065109942073,0.8109146578652873,0.7786682846875825
33,0.033913242354210636,0.8171608801874338,0.7972825156765839
34,0.04686842536674958,0.8220942883895581,0.8145536724295682
35,0.060317143611415325,0.8256403065919303,0.830328417398009
36,0.07268081742628131,0.8277724618394333,0.8444483120280997
37,0.08339426812784602,0.8285208220220411,0.8567777141786482
38,0.09223420666559061,0.8279683503263666,0.8672207034708769
39,0.09913215431521358,0.8262399239880795,0.8757260915870889
40,0.10410754273042463,0.8234889518969435,0.8822871322476425
41,0.10723580882880514,0.8198828975113105,0.8869379182142897
42,0.1086587508911471,0.8154891301994203,0.889807252379907
43,0.10848979905950853,0.8104782093256815,0.8909492306407986
44,0.1068710058393999,0.805030140778673,0.890450518693406
45,0.10396070009420226,0.7993244356850459,0.8884218796197257
46,0.09992376575030167,0.7935354160598559,0.8849900510230441
47,0.09492386385537505,0.7878305991635407,0.8802908564010595
48,0.08911663133894253,0.782371674994382,0.8744633886492102
