Trial Number,MSE,Resultant Angles
1,1.1107207345395915,0.0,0.0
2,1.0836544149309728,-0.0016113611716873735,0.04046669055121936
3,1.0444277923362737,0.010767239008842508,0.08484385116657173
4,0.9967004903296033,0.03305201655822042,0.13164963165191645
5,0.9429220876113557,0.06262294684682436,0.1798421794904641
6,0.8858149558602053,0.09671745673449425,0.22827428103749073
7,0.8273064780849014,0.13344287786812134,0.27609440889369696
8,0.7688686622011344,0.17137710418527236,0.3226485998547912
9,0.7115757662307204,0.20948588258624387,0.3674686048619537
10,0.6561678514951729,0.24704871046374668,0.4102500381698584
11,0.6031075542969008,0.2835367366473526,0.4509227078101249
12,0.5526227190978442,0.3187282452481427,0.4894065129111293
13,0.5047762070185383,0.35253429703560485,0.5257293505409592
14,0.45953216153188486,0.38494960005109513,0.5599857511482376
15,0.41679490613573633,0.41602893993206025,0.5923065516239859
16,0.3752383572549467,0.4468926411812191,0.6234789360508821
17,0.3348356606581516,0.4775965185928845,0.6535912322292201
18,0.29584140702550027,0.5079962127767542,0.6825862190395007
19,0.2585236646162926,0.5379869204987445,0.7104170854246961
20,0.2232140117289259,0.5674863909592467,0.7370354250034893
21,0.1903718207519652,0.596422926753063,0.7623809943357034
22,0.1606744027477359,0.6247267116266546,0.7863719622509932
23,0.13510815222596914,0.6523677668555254,0.8090016884268674
24,0.11516158512341615,0.6793503092732476,0.8302985344848911
25,0.10266647301096805,0.7055679144044555,0.8499546195132281
26,0.09865342971203227,0.7308953831732413,0.8676292167883582
27,0.10203320713211805,0.75546586554015,0.8829421683523797
28,0.11035632685128371,0.7791257743158646,0.8955760922730475
29,0.12098622718266547,0.8015182960412474,0.9053056631272061
30,0.13186872264818078,0.8222921302129332,0.9120006721620092
31,0.14164847292901842,0.8410832826171216,0.9156420015649932
32,0.14948693978432737,0.8575807713531796,0.9163027709358856
33,0.15490715741725825,0.8715542112756365,0.9141357369069197
34,0.15769026371628128,0.8828678044528331,0.9093573838832386
35,0.15780327496571547,0.891475162740874,0.902229425481704
36,0.15534857885627096,0.897406149169806,0.8930429128090306
37,0.1505287588579309,0.9007532415512044,0.8821044878413539
38,0.1436218233985084,0.9016578459007251,0.8697244011918004
39,0.13496498244619667,0.9002969293795187,0.8562064966817419
40,0.12494685903174017,0.89686992588192,0.8418407337721492
41,0.11400669932832808,0.8915832858134941,0.8268981304965818
42,0.1028571712387544,0.884855173636495,0.8116260262449736
43,0.09226798913341432,0.8770256411716141,0.7962511415817356
44,0.08289884994757186,0.8681805126907896,0.7810047628801637
45,0.07553228654393557,0.858433816344718,0.7661388874733344
46,0.0709148114448561,0.8479239950875311,0.7519402666655417
47,0.06943147944317479,0.8368166898170384,0.738741272389732
48,0.07080626375828573,0.8253097453739466,0.7269123308262933
49,0.07416120883479779,0.813631903999763,0.7168216310599227
50,0.07840907100701061,0.802031217637143,0.7087735986493089
51,0.08260912661975872,0.7907624414726849,0.7029633872310095
52,0.08609542537329118,0.7800819382694988,0.6994670280587545
53,0.08844942370441561,0.7702450722604999,0.698256414604814
54,0.08943025703420983,0.7614947513781318,0.6992216134140588
55,0.08891948034623605,0.7540376542821186,0.7021924397176919
56,0.08689125545735098,0.7480194871816032,0.7069575818130054
57,0.08339790225868932,0.7435127355287072,0.7132814452704953
58,0.07856038280309734,0.7405198275750621,0.720918176424882
59,0.07256077515373467,0.738986133398318,0.7296219178957056
60,0.0656392181804839,0.7388159834384627,0.7391530828632569
61,0.05810090292186677,0.7398877334078015,0.7492800836797551
62,0.050340572825031446,0.7420656308511082,0.7597765924957125
63,0.042892971510272854,0.7452077310396532,0.7704136329785604
64,0.03650128806351266,0.7491693500430148,0.7809465217648421
65,0.03210671436252247,0.7538017700514124,0.7910998328616652
66,0.03048884300258478,0.7589470085967729,0.8005608134740995
67,0.03156679699769569,0.7644301030038169,0.8089948393502759
68,0.034308433628417755,0.7700531870225047,0.8160836700428985
69,0.03747628666499951,0.7755973519056035,0.8215701989539185
70,0.040152743353742915,0.7808338806895815,0.8252906454234418
71,0.04178907610376145,0.7855409818423056,0.8271869954521704
72,0.04210558426447459,0.7895239573604637,0.8273011233218679
73,0.0410027102564079,0.7926355074650138,0.8257570917679912
74,0.03850435156057556,0.7947896720240006,0.8227396236637232
75,0.03516787406714692,0.796081190199498,0.8189041674079147
76,0.0311056718458866,0.7965638830262044,0.8144307231563809
77,0.02640388975661665,0.7963058942243411,0.8094436786235277
78,0.02118947367206059,0.7953963702673134,0.8040804987409307
79,0.015621496371246558,0.7939353830422025,0.7984804808379514
80,0.009919333767535673,0.7920270907369145,0.7927772219227516
81,0.0046719172584454875,0.7897528887039139,0.7870902562953084
82,0.00426619808114168,0.7871908200862029,0.7815268809143685
83,0.009259394443935478,0.7844622014382082,0.7761861950584211
84,0.014729399093539583,0.7816705879757396,0.7711482378140553
85,0.020006730884352977,0.7789010891691969,0.7664757611410878
86,0.024932256051240602,0.7762206233983086,0.7622164863362688
87,0.029426628930786822,0.7736799890351573,0.7584053702880799
88,0.03344019737488113,0.7713175842337786,0.7550669238763433
89,0.03693942178356284,0.7691647224638324,0.7522168994498715
90,0.039892820764669906,0.7673101561471393,0.7498417133176829
91,0.042306679756130366,0.7657296800310822,0.7479414428515335
92,0.044184056089280783,0.764410247682266,0.7465170856547582
93,0.04552819154875797,0.7633440001700652,0.7455681482073891
94,0.04634510835131175,0.7625247858929083,0.7450908728704279
95,0.0466451859814165,0.7619463501107276,0.7450771288273169
96,0.04644368206752886,0.7616021510823435,0.7455137629144388
97,0.04576025684172093,0.7614859057830811,0.7463827171997639
98,0.044618248596814694,0.7615919897487125,0.7476615206737852
99,0.043044733545417234,0.7619146084680818,0.7493236331319633
100,0.04107145321552634,0.7624455881181242,0.7513387512286787
101,0.03873636454325806,0.7631720557725241,0.7536726834503542
102,0.03608499775870876,0.7640747657674127,0.7562873445021061
103,0.03317079447380028,0.7651287499897932,0.7591407361409048
104,0.030054423653056987,0.766306002567859,0.7621870071148645
105,0.02680326998367674,0.7675785484154453,0.7653762602983161
106,0.023492849352340448,0.7689195683305665,0.768653914375366
107,0.020210897942539403,0.770302003994122,0.771959920695625
108,0.017063790538594862,0.7716959331473523,0.7752285108115241
109,0.014183536624958165,0.7730672899847617,0.7783894351196629
110,0.011731071469105365,0.7743799622952723,0.7813710947010805
111,0.00988240131982891,0.7756007231515323,0.7841050970906173
112,0.008767251488636236,0.7767043946030806,0.7865308958526526
113,0.008359142061288297,0.7776762670624179,0.788599346458731
114,0.00843904915883029,0.7785106895819072,0.79027466369432
115,0.008717655198988695,0.7792064221835874,0.7915349258100752
116,0.008967013587756412,0.7797618519342516,0.7923723533699717
117,0.009054596236748999,0.7801731900080073,0.7927931188462785
118,0.00892507691823481,0.7804366926355909,0.7928171125060244
119,0.008578338214328874,0.7805525245930579,0.7924768406112221
120,0.008056349918793592,0.7805272484151006,0.7918152469444177
121,0.007438182799269205,0.7803728998751287,0.7908820753120024
122,0.006840798451130474,0.7801032157118087,0.7897294510183908
123,0.006417671059498398,0.7797298875364455,0.7884076734226012
124,0.0063340708728403024,0.7792598787167536,0.7869608261892601
125,0.006698570384070193,0.7786996586060979,0.7854278071252581
126,0.0075039019309464305,0.7780575562790304,0.7838412333019417
127,0.008654219346937818,0.7773457132857614,0.7822274285135914
128,0.010035954484522693,0.776579719999676,0.7806069799887592
129,0.011557399643735748,0.7757762232765948,0.7789956830315484
130,0.013154402426437098,0.7749502142073158,0.7774057506880679
131,0.014783558717263763,0.7741139502875746,0.7758472397333339
132,0.016413715986928406,0.7732782373313201,0.7743294026424615
133,0.018019509460520253,0.772454431903711,0.7728617150879863
134,0.019577521997353305,0.771655843959951,0.7714544184186186
135,0.02106489203884025,0.7708973723386899,0.7701188723380362
136,0.022459455770712858,0.7701939015339464,0.7688676590281718
137,0.023740423608351442,0.7695584424924565,0.7677145281728702
138,0.024888752980298832,0.7690013454691422,0.7666739975484628
139,0.025887216429185247,0.7685304766576525,0.7657607216470675
140,0.026720449787626853,0.7681521421909469,0.764988430684892
141,0.027375170930442973,0.7678718052825588,0.7643689752367128
142,0.027840835022765135,0.7676940799106787,0.7639114809485843
143,0.028110317435586216,0.7676220703670652,0.7636220190439456
144,0.028180579177335893,0.7676564520817447,0.7635034900187396
145,0.028052776249850867,0.7677948475559145,0.7635559673835992
146,0.027731867726214065,0.7680320673268487,0.7637769887103287
147,0.027225733158982204,0.7683609338511689,0.7641620301469837
148,0.026545120989176198,0.7687730268647145,0.764704002781517
149,0.02570289320090879,0.7692593243624931,0.7653937490470822
150,0.024714150351799916,0.7698100191903093,0.7662200772627785
151,0.02359689182433159,0.7704138432126768,0.7671695196637676
152,0.022372290677256202,0.7710579113089262,0.7682261932080587
153,0.02106463499788249,0.7717280647463078,0.7693717086908669
154,0.019700580574389465,0.7724100560159552,0.7705852655845685
155,0.018308587537740183,0.7730904940110999,0.7718436198085465
156,0.016918231321463795,0.773757323944025,0.7731214615656784
157,0.015559873959572104,0.7743993427163393,0.774392000521015
158,0.014264218347982709,0.7750055772810517,0.7756276936599071
159,0.013061389187856078,0.7755649612097615,0.7768011858906314
160,0.011979181901326685,0.7760669531515721,0.7778862186178104
161,0.011040837522225417,0.7765024091930045,0.7788586182812876
162,0.010262807012249058,0.7768643948629188,0.7796972860641124
163,0.009653772880204406,0.777148131703167,0.7803849500700579
164,0.009215156695921224,0.7773504202206096,0.7809089604960382
165,0.008943323813563348,0.777468962911965,0.7812616406433394
166,0.008832265662186674,0.7775022818968941,0.781440389773724
167,0.008875719168146222,0.7774501480574207,0.7814475377626298
168,0.009067993803705845,0.7773141754045089,0.7812899217110258
169,0.009403517065096874,0.7770981088835169,0.7809782959492847
170,0.00987592082852929,0.7768073725536981,0.7805266005178051
171,0.010476877306978853,0.776448517588878,0.7799512562010084
172,0.01119546284778973,0.7760287133510333,0.7792702115206811
173,0.012017710975412254,0.7755557778394446,0.7785023078583476
174,0.01292679616455033,0.7750384392502973,0.7776665287271622
175,0.013903678569605189,0.7744864751572889,0.7767814739219905
176,0.01492791991739064,0.7739105947714345,0.7758651386873863
177,0.015978754649149114,0.773321947126924,0.7749346266758025
178,0.01703590386171478,0.7727316280934357,0.7740060212030324
179,0.0180799091887912,0.7721504547173231,0.7730944513152564
180,0.019092359640962227,0.7715888682265163,0.7722140227905707
181,0.020055792674422212,0.7710570093260287,0.7713779594153654
182,0.020953828473961426,0.7705645519047352,0.7705986060459784
183,0.021771379920526204,0.7701204872456662,0.7698873415286639
184,0.02249494475302224,0.7697326918048851,0.7692545721233817
185,0.02311277584149826,0.7694078222410711,0.7687095625932462
186,0.02361522188090235,0.7691510866261403,0.7682601588207342
